x,y,z,Cl,alpha_e
2.52233,-4.49978,0.938993,0.184359,0.0262201
2.52088,-4.27954,0.879378,0.291725,0.0423778
2.51667,-3.64037,0.706369,0.356077,0.0527782
2.51044,-2.64485,0.447704,0.386773,0.0579972
2.50364,-1.39046,0.160025,0.400349,0.0603642
2.5,-2.75546e-16,0,0.400349,0.0603642
2.50364,1.39046,0.160025,0.386773,0.0579972
2.51044,2.64485,0.447704,0.356077,0.0527782
2.51667,3.64037,0.70637,0.291725,0.0423778
2.52088,4.27954,0.879378,0.184359,0.0262201
2.52233,4.49978,0.938993,,
2.85566,-4.49978,0.939028,1.35055e-311,1.35055e-311
2.85421,-4.27954,0.879413,-1.62986e-310,-2.1731e-310
2.85001,-3.64037,0.706403,0.0934222,0.0934222
2.84378,-2.64485,0.447734,0.0966481,0.0966481
2.83697,-1.39046,0.160046,0.0982717,0.0982717
2.83333,-2.75546e-16,0,0.0989212,0.0989212
2.83697,1.39046,0.160046,0.0991753,0.0991753
2.84378,2.64485,0.447734,0.0991753,0.0991753
2.85001,3.64037,0.706404,0.0989212,0.0989212
2.85421,4.27954,0.879413,0.0982717,0.0982717
2.85566,4.49978,0.939028,,
3.18899,-4.49978,0.938958,0.0966481,0.0966481
3.18754,-4.27954,0.879343,0.0934222,0.0934222
3.18334,-3.64037,0.706335,1.35055e-311,1.35055e-311
3.17711,-2.64485,0.447673,-1.68419e-310,-1.30113e-231
3.17031,-1.39046,0.160005,-nan,1.35055e-311
3.16667,-2.75546e-16,0,0,1.35055e-311
3.17031,1.39046,0.160005,1.35055e-311,0
3.17711,2.64485,0.447674,2.02369e-320,4.94066e-324
3.18334,3.64037,0.706336,4.94066e-324,4.94066e-324
3.18754,4.27954,0.879344,0,1.35055e-311
3.18899,4.49978,0.938958,,
3.52233,-4.49978,0.938887,,
3.52088,-4.27954,0.879274,,
3.51667,-3.64037,0.706268,,
3.51044,-2.64485,0.447613,,
3.50364,-1.39046,0.159963,,
3.5,-2.75546e-16,0,,
3.50364,1.39046,0.159963,,
3.51044,2.64485,0.447613,,
3.51667,3.64037,0.706268,,
3.52088,4.27954,0.879274,,
3.52233,4.49978,0.938888,,
